,variety
73069,Aglianico
124278,Pinot Noir
38586,Pinot Noir
60696,Nebbiolo
107611,Pinot Noir
118832,Syrah
79586,Portuguese Red
108841,Red Blend
101471,Red Blend
104350,Blaufränkisch
87333,Chardonnay
61805,Torrontés
123700,Cabernet Sauvignon
69325,White Blend
52572,Pinot Nero
110327,Muscat
114578,Pinot Gris
34728,Cabernet Sauvignon
110906,Pinot Noir
10112,Cabernet Sauvignon
8407,Riesling
17448,Riesling
106442,Syrah
122403,Malbec
128322,Pinot Noir
52350,Pinot Noir
22284,Merlot
70587,Pinot Noir
21307,Sparkling Blend
126450,Pinot Noir
30285,Pinot Nero
90846,Sauvignon Blanc
58972,Pinot Grigio
46932,Red Blend
15456,Chardonnay
126091,Merlot
77703,Riesling
88029,Chardonnay
85466,Riesling
15234,Pinot Gris
20093,Chardonnay
108136,Verdejo
16235,Pinot Blanc
77866,Bordeaux-style White Blend
117339,Grenache
67655,Cabernet Sauvignon
38035,Chardonnay
41279,Chardonnay
18444,Red Blend
122510,Sangiovese
124868,Sauvignon Blanc
27362,Melon
1424,Cabernet Sauvignon
97555,Cabernet Sauvignon
54012,Malbec
17483,Riesling
100184,Pinot Gris
97935,White Blend
115392,Viognier
31972,Cabernet Sauvignon
88309,Malbec
15281,Sauvignon Blanc
125198,Champagne Blend
86816,Syrah
34392,Chardonnay
123898,Bordeaux-style Red Blend
41116,Riesling
48737,Rhône-style Red Blend
116843,Portuguese Red
64820,"Corvina, Rondinella, Molinara"
110709,Riesling
63491,Primitivo
14600,Nebbiolo
126618,Riesling
65332,Syrah
25201,Sangiovese Grosso
24050,Cabernet Sauvignon
80727,Malbec
76109,Port
9539,Chardonnay
94505,Nebbiolo
115049,Syrah
31426,Portuguese Red
118158,Rosé
47235,Sangiovese
51194,Portuguese White
92830,Barbera
3287,Nero d'Avola
86307,Pinot Blanc
93587,Cabernet Franc
54983,Syrah
116282,Red Blend
115787,Gamay
85630,Champagne Blend
25064,Portuguese Red
15860,Pinot Noir
58736,Cabernet Sauvignon
94230,Bordeaux-style Red Blend
93261,Cabernet Sauvignon
64815,Tempranillo
33071,Alvarinho
78840,Pinot Noir
54744,Riesling
6361,Zinfandel
44089,Chardonnay
85185,Cabernet Sauvignon
16092,Chardonnay
99137,Pinot Noir
69232,Petite Sirah
33425,Gewürztraminer
17578,Pinot Gris
38524,Pinot Gris
102434,Merlot
40524,Red Blend
48508,Chardonnay
69209,Bordeaux-style Red Blend
25721,Sangiovese
50125,Blaufränkisch
59421,Pinot Noir
11666,Pinot Noir
2396,Portuguese Red
59972,Pinot Noir
100327,Nebbiolo
55489,Pinot Noir
67866,Merlot
99599,Carmenère
42815,Sauvignon Blanc
54487,Cabernet Sauvignon
74175,Sparkling Blend
75725,Sauvignon Blanc
24332,Vernaccia
30862,Pinot Blanc
118433,Albariño
69044,Cabernet Sauvignon
64279,Cabernet Sauvignon
108777,Pinot Noir
34090,Sauvignon Blanc
48558,Sangiovese Grosso
62933,Tempranillo
84055,Cabernet Sauvignon
13456,Shiraz
92618,Cabernet Sauvignon
29599,Chenin Blanc
668,Riesling
44542,Shiraz
37601,Gewürztraminer
118969,Syrah
34067,Red Blend
24831,Pinot Noir
85771,Sauvignon Blanc
17602,Pinot Noir
11739,Tempranillo
49219,Sangiovese
103446,Pinot Noir
103853,Malbec
115977,Glera
95380,Chardonnay
66651,Riesling
14186,Sangiovese
108139,Rhône-style Red Blend
81847,Sparkling Blend
55365,Chardonnay
114370,Gewürztraminer
60651,Grüner Veltliner
21911,Rosé
19357,Sauvignon Blanc
27520,Zinfandel
113367,Tempranillo
109085,Red Blend
33622,Bordeaux-style White Blend
51514,Chardonnay
65974,Roussanne
10855,Chardonnay
21082,Bordeaux-style Red Blend
88987,Red Blend
68077,Pinot Noir
105892,Pinot Nero
59635,Viura
72866,Pinot Noir
119838,Bordeaux-style Red Blend
101839,Red Blend
99857,Petite Sirah
123851,Pinot Noir
64559,Prosecco
64471,Chardonnay
18398,Portuguese Red
22302,Bordeaux-style Red Blend
100516,Pinot Gris
118863,Cabernet Sauvignon
39573,Malbec
84815,Shiraz
6070,Red Blend
53640,Verdicchio
80315,Bordeaux-style Red Blend
67822,Chardonnay
122211,Merlot
12850,Red Blend
37743,Red Blend
34820,Chardonnay
39799,Cabernet Sauvignon
20612,Cabernet Sauvignon
115369,Nero d'Avola
68092,Sparkling Blend
101692,Tempranillo Blend
66207,Red Blend
96041,Chardonnay
118157,Tempranillo
110489,Chardonnay
18721,Cabernet Sauvignon
95345,Chardonnay
8625,Rhône-style Red Blend
28921,Merlot
88238,Cabernet Sauvignon
12293,Champagne Blend
72967,Zinfandel
21846,Sparkling Blend
11037,Red Blend
9754,Sangiovese
114246,Malbec
105231,Red Blend
10048,Greco
120829,Pinot Gris
127776,Sauvignon Blanc
25831,Gewürztraminer
61715,Pinot Noir
117160,Syrah
87149,Pinot Noir
73251,Malbec
65202,Riesling
65043,Sauvignon Blanc
1801,Portuguese Red
1053,Tempranillo Blend
61352,Malbec
47620,Chardonnay
114288,Merlot
91233,Chardonnay
116900,Bordeaux-style Red Blend
37201,Riesling
113630,Glera
21877,Chardonnay
12556,Red Blend
87581,Riesling
20393,Bordeaux-style Red Blend
80343,Red Blend
116932,Portuguese White
23014,Pinot Noir
64195,Chenin Blanc
60123,Pinot Noir
47754,Cabernet Franc
80690,Pinot Noir
52361,Pinot Bianco
113366,Sauvignon Blanc
20220,Chardonnay
77468,Sauvignon Blanc
37649,Red Blend
14310,Cabernet Sauvignon
94334,Carmenère
65094,Rhône-style Red Blend
1223,Sparkling Blend
48155,Sauvignon Blanc
119637,Pinot Noir
118307,Bonarda
8289,Cabernet Sauvignon
7378,Riesling
75451,Albariño
25767,Syrah
83416,Cabernet Sauvignon
90634,Pinot Noir
33876,Pinot Noir
39584,Riesling
65996,Grenache
68616,Syrah
56988,Sauvignon Blanc
32066,Garnacha
68291,Syrah
79163,Cabernet Sauvignon
97637,Aglianico
118324,Portuguese Red
66324,Cabernet Sauvignon
52683,Pinot Noir
996,Syrah
27287,Rosé
21136,Chardonnay
62781,Merlot
1680,Malbec
115847,Pinot Noir
2144,Barbera
56842,Bordeaux-style Red Blend
43474,Chardonnay
8494,Sparkling Blend
41802,Chardonnay
72474,Glera
24154,Cabernet Sauvignon
51347,Pinot Noir
128869,Pinot Gris
26060,Bordeaux-style Red Blend
97305,Shiraz
4463,White Blend
120339,Chardonnay
42198,Sauvignon Blanc
97177,Chardonnay
116367,Cabernet Sauvignon
90500,Merlot
83042,Cabernet Sauvignon
53977,Pinot Gris
86521,Red Blend
77,Chardonnay
104179,Red Blend
98211,Shiraz
107493,Cabernet Franc
83583,Pinot Noir
81838,Torrontés
83454,Dolcetto
74700,Chardonnay
77427,Chardonnay
125967,Merlot
114404,White Blend
5217,Pinot Noir
121599,Moscato
91000,Syrah
77870,Pinot Grigio
25343,Cabernet Sauvignon
111936,Cabernet Franc
47288,Champagne Blend
53901,Rosé
65520,Rhône-style Red Blend
112318,Pinot Grigio
61678,Rosé
75780,Syrah
106827,Pinot Noir
84652,Barbera
62150,Rosé
98120,White Blend
53721,Cabernet Sauvignon
59365,Bordeaux-style Red Blend
36527,Cabernet Sauvignon
37996,Portuguese Red
104323,Chenin Blanc
124744,Portuguese Red
92743,Malbec
15170,Chardonnay
103793,Viognier
117948,Roussanne
25953,Pinot Noir
121045,Riesling
59182,Barbera
101365,Syrah
56622,Merlot
124055,Pinot Noir
85245,Cabernet Sauvignon
2889,Chenin Blanc
39730,Nebbiolo
72488,Pinot Noir
19673,Rosé
83338,Champagne Blend
127291,Pinot Noir
39962,Shiraz
117214,Cabernet Sauvignon
22109,Nebbiolo
52517,Pinot Noir
14886,Rosé
95502,Cabernet Sauvignon
122983,Sparkling Blend
42824,Zweigelt
90394,Chenin Blanc
110733,Chardonnay
13023,Chardonnay
5915,Cabernet Sauvignon
69793,Red Blend
128507,Sangiovese
70942,Sauvignon Blanc
40633,Red Blend
2013,Gewürztraminer
5763,Pinot Noir
4503,Nerello Mascalese
55883,Merlot
83720,Cabernet Sauvignon
3518,Albariño
89906,Red Blend
2395,Pinot Noir
15636,Bordeaux-style Red Blend
58549,Chardonnay
116288,Pinot Noir
126350,Bordeaux-style Red Blend
79391,Merlot
76781,Sparkling Blend
84494,Port
108790,Chardonnay
28581,Merlot
41400,Aglianico
30844,Sauvignon Blanc
52503,Cabernet Franc
41649,Chenin Blanc
59418,Rhône-style Red Blend
16885,Pinot Noir
93934,Cabernet Franc
49495,Port
11890,Cabernet Sauvignon
61209,Cabernet Sauvignon
23747,Pinot Noir
115408,Champagne Blend
78551,Cabernet Sauvignon
92403,Red Blend
112819,Sauvignon Blanc
123444,Cabernet Sauvignon
34675,Pinot Noir
78062,Cabernet Sauvignon
86195,Pinot Noir
120147,Zinfandel
124762,Tempranillo
116364,White Blend
20886,Nebbiolo
68209,Pinot Noir
116831,Cabernet Sauvignon
36849,Pinot Noir
36234,Malbec
37099,Garganega
63032,Tempranillo
76451,Pinot Noir
32876,Sangiovese
17835,Cabernet Sauvignon
64263,Chardonnay
53296,Sangiovese
20400,Moscato
63696,Bordeaux-style Red Blend
38677,Nebbiolo
56664,Red Blend
106459,Chardonnay
72828,Pinot Noir
22592,Red Blend
103215,Rosé
88835,White Blend
54116,Syrah
9214,Red Blend
8379,Chardonnay
76636,White Blend
64682,Red Blend
20385,Zinfandel
86191,Cabernet Sauvignon
24866,Nebbiolo
65530,Chardonnay
57305,Riesling
36767,Red Blend
32378,Pinot Noir
45042,"Corvina, Rondinella, Molinara"
42399,Red Blend
32388,Pinot Noir
126872,Rosé
113323,Pinot Noir
84885,Chardonnay
26603,Pinot Noir
6128,G-S-M
12248,Chardonnay
96303,Cabernet Sauvignon
32463,Red Blend
15492,Syrah
95051,Pinot Noir
113129,Rosé
59126,Pinot Noir
73423,Rosé
27266,Pinot Noir
54593,Sauvignon Blanc
56203,Rhône-style White Blend
29453,White Blend
837,Sparkling Blend
16231,Chenin Blanc
123964,Portuguese White
36003,Shiraz
71330,Tempranillo
738,Malbec
513,Cabernet Sauvignon
41417,Riesling
124385,Pinot Noir
119568,Chardonnay
117644,Verdejo
107658,White Blend
113349,Merlot
81965,Chenin Blanc
52615,White Blend
77513,Albariño
5229,Portuguese Red
30940,Chardonnay
126266,Rosé
6846,Bordeaux-style Red Blend
38591,Riesling
70586,Pinot Noir
34782,Red Blend
17573,Muscat
24643,Syrah
104335,Bordeaux-style Red Blend
49621,Barbera
90449,Sparkling Blend
33671,Red Blend
83102,Bordeaux-style Red Blend
88497,Rosé
112568,Cabernet Franc
92547,Nebbiolo
3764,Riesling
88823,Grillo
38659,Pinot Noir
49128,Chardonnay
16458,Cabernet Sauvignon
89785,Sparkling Blend
126210,Merlot
38515,Bordeaux-style Red Blend
35286,Chardonnay
9687,Malbec
96325,Merlot
95596,Chardonnay
50711,Pinot Noir
28629,Chardonnay
85033,Chardonnay
64178,Muscat
49973,Syrah
99362,Verdejo
123013,Sauvignon Blanc
73779,Pinot Noir
127790,Sauvignon Blanc
76932,Bordeaux-style Red Blend
56323,Chardonnay
126536,Malbec
75705,Cabernet Sauvignon
12868,Pinot Noir
98663,Rhône-style Red Blend
85978,Rosé
7573,Sauvignon Blanc
90429,Pinot Gris
125921,Pinot Noir
10153,Cabernet Sauvignon
60527,Pinot Noir
33421,Red Blend
4572,Viognier
127153,Carmenère
9009,Pinot Noir
65153,Port
84594,Pinot Noir
7510,Chardonnay
267,White Blend
85716,Bordeaux-style Red Blend
27720,Albariño
50877,Cabernet Sauvignon
56888,Rosé
13091,Merlot
28819,Portuguese Red
70184,Chardonnay
77053,Melon
2445,Red Blend
106374,Sangiovese
98275,Bordeaux-style Red Blend
27326,Syrah
32785,Cabernet Sauvignon
71193,Tinta de Toro
40494,Cabernet Sauvignon
33436,Merlot
41300,Pinot Noir
9231,Cabernet Sauvignon
127630,Pinot Noir
18381,Chardonnay
88648,Pinot Noir
43003,Cabernet Sauvignon
25269,Sparkling Blend
3073,Pinot Noir
2468,Sangiovese
41813,White Blend
40587,Aglianico
30813,Bordeaux-style Red Blend
125137,Chardonnay
11208,Pinot Noir
6294,Red Blend
13336,Port
43822,Port
75841,Riesling
118441,Bordeaux-style Red Blend
18214,Zinfandel
43198,Cabernet Sauvignon
87071,Sauvignon
29213,Bordeaux-style Red Blend
21035,Syrah
28864,Bonarda
42100,Red Blend
63632,Chardonnay
1900,Pinot Gris
51259,Cabernet Sauvignon
18760,Cabernet Sauvignon
11192,Syrah
90617,Pinot Grigio
121296,Sparkling Blend
21043,Sparkling Blend
86708,Riesling
13354,Chenin Blanc
64540,Grüner Veltliner
76839,Garnacha
101266,Monastrell
2020,Petite Sirah
125561,Bordeaux-style Red Blend
114621,Merlot
24774,Pinot Noir
77257,Chardonnay
78047,Portuguese Red
95939,Portuguese White
59821,Chardonnay
85197,Syrah
16897,Sauvignon Blanc
2358,Grüner Veltliner
3776,Red Blend
32492,Nebbiolo
91861,Pinot Noir
82001,Red Blend
45066,Cabernet Sauvignon
46544,Cabernet Sauvignon
96236,Rosé
35554,Zweigelt
54535,Red Blend
36926,Nebbiolo
65910,Merlot
10645,Merlot
116788,Pinot Noir
65660,Riesling
100599,Syrah
79152,Tempranillo
53273,Sparkling Blend
28916,Red Blend
116662,Chardonnay
93521,Cabernet Sauvignon
107164,Red Blend
9169,Cabernet Sauvignon
53016,Portuguese White
59201,Pinot Noir
12396,Zinfandel
107699,Blaufränkisch
65399,Red Blend
39682,Nebbiolo
20779,Zinfandel
26829,Cabernet Sauvignon
129240,Petite Sirah
73954,Chardonnay
19150,Zinfandel
14654,Riesling
60871,Cabernet Sauvignon
40840,Chardonnay
26754,Pinot Noir
24378,Garganega
1370,Rosé
20656,Bordeaux-style Red Blend
35335,Chardonnay
116781,Cabernet Sauvignon
7135,Sauvignon Blanc
25618,Riesling
115741,Gamay
40531,Pinot Noir
17998,Syrah
45639,Cabernet Franc
114521,Pinot Noir
58425,Torrontés
63321,Pinot Noir
88032,Chardonnay
6301,Red Blend
101355,Cabernet Sauvignon
14185,Sauvignon
69769,Pinot Noir
99126,Sparkling Blend
28900,Bordeaux-style Red Blend
64444,Sauvignon Blanc
91692,Cabernet Sauvignon
84135,Cabernet Sauvignon
74109,Cabernet Sauvignon-Merlot
5486,Rhône-style Red Blend
31439,Sauvignon Blanc
19060,Malbec
71664,Malbec
29595,Portuguese Red
128306,Sangiovese Grosso
105943,Chardonnay
23353,Cabernet Sauvignon
45412,Red Blend
49694,Pinot Noir
81746,Sauvignon Blanc
89883,Gewürztraminer
84230,Aglianico
119273,Cabernet Sauvignon
34629,Portuguese Red
107645,Pinot Noir
57776,Pinot Noir
3687,Champagne Blend
77672,Verdicchio
121780,Cabernet Sauvignon
6810,Rosé
126470,Bordeaux-style Red Blend
110178,Cabernet Franc
47731,Sparkling Blend
77455,Chardonnay
25854,Grenache
53109,Riesling
47569,Portuguese Red
102622,G-S-M
88474,Fiano
112041,Rosé
127302,Pinot Noir
89239,Merlot
61557,Cabernet Sauvignon
90059,Sauvignon Blanc
12356,Pinot Noir
33798,Chardonnay
69004,Portuguese Red
2912,Riesling
3331,Chardonnay
125635,Merlot
69252,Chardonnay
68986,Cabernet Sauvignon
113247,Nebbiolo
79582,Chardonnay
44628,Grüner Veltliner
51407,Cabernet Sauvignon
94544,Rhône-style Red Blend
123624,Red Blend
101083,Zweigelt
14521,Syrah
55047,Pinot Grigio
104557,Riesling
75023,Viognier
87782,Merlot
10084,Petit Verdot
52949,Nebbiolo
80509,Grüner Veltliner
104087,Red Blend
85807,Grüner Veltliner
91895,Syrah
52718,Chardonnay
7350,Pinot Noir
29400,Cabernet Sauvignon
95773,Malbec
9894,Rhône-style Red Blend
15622,Bordeaux-style Red Blend
10212,Portuguese Red
62253,Riesling
45364,Tempranillo
88166,Pinot Noir
46724,Gewürztraminer
7669,Gewürztraminer
75029,Rosé
124754,Red Blend
64489,Chardonnay
52197,Red Blend
78721,Grenache
128674,Sauvignon Blanc
2789,Pinot Noir
101913,Chardonnay
12579,Nero d'Avola
127841,Red Blend
28562,Red Blend
121833,Nebbiolo
29839,Red Blend
90684,Cabernet Sauvignon
18815,Pinot Noir
98213,Syrah
122247,Malbec
82828,Portuguese Red
95019,Champagne Blend
20985,Chardonnay
85162,Pinot Noir
102734,Cabernet Sauvignon
51983,Cabernet Sauvignon
104665,Chardonnay
44051,Chenin Blanc
3654,Red Blend
108873,Merlot
3334,Riesling
126518,Malbec
125886,Pinot Noir
118465,Red Blend
93452,Sangiovese
116385,Vernaccia
59169,Rosé
49071,Syrah
99255,Pinot Grigio
66588,Bordeaux-style Red Blend
64720,Vermentino
81251,Sauvignon Blanc
23402,Chardonnay
102250,Nebbiolo
22287,Pinot Noir
68145,Zinfandel
98627,Rosé
126567,Cabernet Sauvignon
11119,Red Blend
39660,Zinfandel
1496,Chardonnay
106303,Sauvignon Blanc
35495,Pinot Noir
90516,Chardonnay
114172,Nebbiolo
119269,Syrah
79396,Cabernet Sauvignon
18019,Pinot Gris
103266,Cabernet Sauvignon
63500,Dolcetto
83913,Zinfandel
111026,Nero d'Avola
128944,Merlot
76605,Red Blend
28081,Rhône-style White Blend
69892,Rosé
9756,Chardonnay
19234,Vermentino
125887,Chardonnay
87339,Pinot Noir
93362,Chardonnay
98054,Bordeaux-style Red Blend
125707,Red Blend
119948,Melon
38820,Syrah
72892,Gamay
60702,Red Blend
46005,Malbec
73411,Albariño
10873,Pinot Noir
93233,Pinot Noir
8529,Gamay
48396,Nebbiolo
106991,Riesling
13327,Riesling
41352,Riesling
85832,Gewürztraminer
59659,Grüner Veltliner
65479,Bordeaux-style Red Blend
75492,Pinot Noir
45876,Rosé
44280,Carmenère
43514,Cabernet Sauvignon
79748,Sparkling Blend
42810,Nebbiolo
126623,Petite Sirah
42391,Pinot Noir
43909,Aglianico
80008,Chardonnay
97387,Chardonnay
109260,White Blend
46468,Chardonnay
59166,Red Blend
4876,Red Blend
129411,Red Blend
64231,Pinot Noir
68769,Malbec
101920,Barbera
16666,Sparkling Blend
17789,Riesling
27571,Riesling
58979,Sauvignon
88763,Chenin Blanc
64006,Cabernet Sauvignon
34478,Chardonnay
104746,Shiraz
37042,Bordeaux-style Red Blend
79763,"Corvina, Rondinella, Molinara"
29151,Cabernet Sauvignon
3244,Cabernet Sauvignon
88126,Sparkling Blend
7374,Riesling
23114,Cabernet Sauvignon
55770,Rhône-style Red Blend
56423,Riesling
69424,Pinot Noir
78835,Red Blend
37964,Cabernet Sauvignon
2301,Cabernet Sauvignon
70991,Barbera
50901,Rosé
107680,Zinfandel
114886,Sauvignon Blanc
69283,Pinot Gris
74740,Tempranillo
16854,Zinfandel
30438,Gamay
122042,Cabernet Sauvignon
52046,Chardonnay
84431,Pinot Noir
102277,Syrah
4808,Grüner Veltliner
48723,Pinot Noir
9239,Syrah
10344,Sangiovese
82780,Pinot Noir
11101,Pinot Blanc
34591,Nebbiolo
33019,Chardonnay
63961,Chardonnay
126085,Blaufränkisch
15031,Sauvignon Blanc
47198,White Blend
2968,Zinfandel
39716,Pinot Noir
34419,Nero d'Avola
129556,Grüner Veltliner
34898,Chardonnay
112801,Merlot
59676,Chardonnay
80817,Chardonnay
92651,Bordeaux-style White Blend
34361,G-S-M
8951,Malbec
98020,Vermentino
16997,Port
122649,Bordeaux-style Red Blend
71265,Chardonnay
35704,Portuguese Red
54839,Cabernet Sauvignon
79347,Torrontés
104454,Syrah
30418,Portuguese Red
126766,Malbec
78540,Nerello Mascalese
66073,Portuguese Red
11365,Cabernet Sauvignon
12165,Pinot Noir
11235,Pinot Noir
109869,Nero d'Avola
12490,Rhône-style Red Blend
38953,Nebbiolo
59147,Petite Sirah
50220,Merlot
57678,Rosé
20170,Champagne Blend
28275,Red Blend
11792,Riesling
32683,Pinot Noir
72545,Chenin Blanc
95356,Cabernet Sauvignon
57584,Chardonnay
54375,Vermentino
46125,Red Blend
81702,Red Blend
58763,Pinot Noir
49014,Pinot Gris
56108,Grüner Veltliner
116857,Cabernet Sauvignon
25066,Chardonnay
29372,Pinot Noir
9699,Tempranillo Blend
17423,Pinot Grigio
88700,Pinot Noir
31982,Nebbiolo
125212,Tempranillo
96000,Port
90635,Pinot Noir
91922,Pinot Noir
90201,Viognier
117929,White Blend
84018,Viura
2300,Riesling
51367,Sauvignon Blanc
31500,Grüner Veltliner
107820,Gamay
89131,Tempranillo Blend
8391,Rhône-style Red Blend
42103,Chardonnay
35791,Bordeaux-style Red Blend
38994,Red Blend
34557,Pinot Noir
7441,Merlot
103061,Chardonnay
114951,Sangiovese Grosso
78080,Sauvignon Blanc
34394,Merlot
4069,Rhône-style Red Blend
21800,Zinfandel
35579,Pinot Gris
65321,Merlot
50872,Cabernet Sauvignon
113811,Pinot Noir
26928,Merlot
101574,Rosé
100495,Gamay
35831,Red Blend
